Year,Region,Region_en,Crop,Metrics,Value
2000,范县,fanxian,Wheat,Sown area (1000 ha),24.07
2000,台前县,taiqianxian,Wheat,Sown area (1000 ha),15.62
2000,濮阳县,puyangxian,Wheat,Sown area (1000 ha),73.47
2000,魏都区,weiduqu,Wheat,Sown area (1000 ha),2.61
2000,禹州市,yuzhoushi,Wheat,Sown area (1000 ha),50.35
2000,长葛市,changgeshi,Wheat,Sown area (1000 ha),33.33
2000,许昌县,xuchangxian,Wheat,Sown area (1000 ha),51.16
2000,鄢陵县,yanlingxian,Wheat,Sown area (1000 ha),40.68
2000,襄城县,xiangchengxian,Wheat,Sown area (1000 ha),36.82
2000,源汇区,yuanhuiqu,Wheat,Sown area (1000 ha),1.46
2000,舞阳县,wuyangxian,Wheat,Sown area (1000 ha),37.19
2000,临颍县,linyingxian,Wheat,Sown area (1000 ha),38.1
2000,郾城县,yanchengxian,Wheat,Sown area (1000 ha),55.23
2000,湖滨区,hubinqu,Wheat,Sown area (1000 ha),3.2
2000,义马市,yimashi,Wheat,Sown area (1000 ha),1.8
2000,灵宝市,lingbaoshi,Wheat,Sown area (1000 ha),31.83
2000,渑池县,minchixian,Wheat,Sown area (1000 ha),26.62
2000,陕县,shanxian,Wheat,Sown area (1000 ha),21.23
2000,卢氏县,lushixian,Wheat,Sown area (1000 ha),17.3
2000,宛城区,wanchengqu,Wheat,Sown area (1000 ha),39.45
2000,卧龙区,wolongqu,Wheat,Sown area (1000 ha),30.59
2000,邓州市,dengzhoushi,Wheat,Sown area (1000 ha),103.34
2000,南召县,nanzhaoxian,Wheat,Sown area (1000 ha),15.72
2000,方城县,fangchengxian,Wheat,Sown area (1000 ha),60.17
2000,西峡县,xixiaxian,Wheat,Sown area (1000 ha),14.03
2000,镇平县,zhenpingxian,Wheat,Sown area (1000 ha),55.34
2000,内乡县,neixiangxian,Wheat,Sown area (1000 ha),28.01
2000,淅川县,xichuanxian,Wheat,Sown area (1000 ha),32.61
2000,社旗县,sheqixian,Wheat,Sown area (1000 ha),48.12
2000,唐河县,tanghexian,Wheat,Sown area (1000 ha),90.75
2000,新野县,xinyexian,Wheat,Sown area (1000 ha),41.53
2000,桐柏县,tongbaixian,Wheat,Sown area (1000 ha),20.88
2000,梁园区,liangyuanqu,Wheat,Sown area (1000 ha),34.83
2000,睢阳区,suiyangqu,Wheat,Sown area (1000 ha),45.23
2000,永城市,yongchengshi,Wheat,Sown area (1000 ha),78.29
2000,民权县,minquanxian,Wheat,Sown area (1000 ha),56.89
2000,睢县,suixian,Wheat,Sown area (1000 ha),46.1
2000,宁陵县,ninglingxian,Wheat,Sown area (1000 ha),38.05
2000,柘城县,zhechengxian,Wheat,Sown area (1000 ha),54.42
2000,虞城县,yuchengxian,Wheat,Sown area (1000 ha),76.19
2000,夏邑县,xiayixian,Wheat,Sown area (1000 ha),69.27
2000,狮河区,shihequ,Wheat,Sown area (1000 ha),4.73
2000,平桥区,pingqiaoqu,Wheat,Sown area (1000 ha),28.18
2000,息县,xixian,Wheat,Sown area (1000 ha),62.42
2000,淮滨县,huaibinxian,Wheat,Sown area (1000 ha),39.84
2000,潢川县,huangchuanxian,Wheat,Sown area (1000 ha),30.47
2000,光山县,guangshanxian,Wheat,Sown area (1000 ha),24.65
2000,固始县,gushixian,Wheat,Sown area (1000 ha),47.63
2000,商城县,shangchengxian,Wheat,Sown area (1000 ha),19.68
2000,罗山县,luoshanxian,Wheat,Sown area (1000 ha),21.98
2000,新县,xinxian,Wheat,Sown area (1000 ha),5.15
2000,川汇区,chuanhuiqu,Wheat,Sown area (1000 ha),4.68
2000,项城市,xiangchengshi,Wheat,Sown area (1000 ha),54.2
2000,扶沟县,fugouxian,Wheat,Sown area (1000 ha),50.7
2000,西华县,xihuaxian,Wheat,Sown area (1000 ha),53.01
2000,商水县,shangshuixian,Wheat,Sown area (1000 ha),76.54
2000,太康县,taikangxian,Wheat,Sown area (1000 ha),86.09
2000,鹿邑县,luyixian,Wheat,Sown area (1000 ha),64.97
2000,郸城县,danchengxian,Wheat,Sown area (1000 ha),79.76
2000,淮阳县,huaiyangxian,Wheat,Sown area (1000 ha),66.21
2000,沈丘县,shenqiuxian,Wheat,Sown area (1000 ha),58.6
2000,驿城区,yichengqu,Wheat,Sown area (1000 ha),8.67
2000,确山县,queshanxian,Wheat,Sown area (1000 ha),52.57
2000,泌阳县,miyangxian,Wheat,Sown area (1000 ha),62.02
2000,遂平县,suipingxian,Wheat,Sown area (1000 ha),52.78
2000,西平县,xipingxian,Wheat,Sown area (1000 ha),51.93
2000,上蔡县,shangcaixian,Wheat,Sown area (1000 ha),84.04
2000,汝南县,runanxian,Wheat,Sown area (1000 ha),65.82
2000,平舆县,pingyuxian,Wheat,Sown area (1000 ha),65.49
2000,新蔡县,xincaixian,Wheat,Sown area (1000 ha),75.14
2000,正阳县,zhengyangxian,Wheat,Sown area (1000 ha),67.85
2000,中原区,zhongyuanqu,Wheat,Yield (t),29396.0
2000,二七区,erqiqu,Wheat,Yield (t),6465.0
2000,管城区,guanchengqu,Wheat,Yield (t),21217.0
2000,金水区,jinshuiqu,Wheat,Yield (t),20940.0
2000,上街区,shangjiequ,Wheat,Yield (t),936.0
2000,邙山区,mangshanqu,Wheat,Yield (t),16911.0
2000,巩义市,gongyishi,Wheat,Yield (t),70192.0
2000,荥阳市,yingyangshi,Wheat,Yield (t),130598.0
2000,新密市,xinmishi,Wheat,Yield (t),68093.0
2000,新郑市,xinzhengshi,Wheat,Yield (t),136577.0
2000,登封市,dengfengshi,Wheat,Yield (t),53058.0
2000,中牟县,zhongmouxian,Wheat,Yield (t),193096.0
2000,郊区,jiaoqu,Wheat,Yield (t),31941.0
2000,杞县,qixian,Wheat,Yield (t),324385.0
2000,通许县,tongxuxian,Wheat,Yield (t),190370.0
2000,尉氏县,weishixian,Wheat,Yield (t),289110.0
2000,开封县,kaifengxian,Wheat,Yield (t),311453.0
2000,兰考县,lankaoxian,Wheat,Yield (t),263524.0
2000,吉利区,jiliqu,Wheat,Yield (t),7601.0
2000,洛龙区,luolongqu,Wheat,Yield (t),36213.0
2000,偃师市,yanshishi,Wheat,Yield (t),185950.0
2000,孟津县,mengjinxian,Wheat,Yield (t),91991.0
2000,新安县,xinanxian,Wheat,Yield (t),73767.0
2000,栾川县,luanchuanxian,Wheat,Yield (t),14714.0
2000,嵩县,songxian,Wheat,Yield (t),36675.0
2000,汝阳县,ruyangxian,Wheat,Yield (t),40838.0
2000,宜阳县,yiyangxian,Wheat,Yield (t),100298.0
2000,洛宁县,luoningxian,Wheat,Yield (t),92511.0
2000,伊川县,yichuanxian,Wheat,Yield (t),97276.0
2000,新华区,xinhuaqu,Wheat,Yield (t),5641.0
2000,卫东区,weidongqu,Wheat,Yield (t),3879.0
2000,石龙区,shilongqu,Wheat,Yield (t),450.0
2000,湛河区,zhanhequ,Wheat,Yield (t),10482.0
2000,舞钢市,wugangshi,Wheat,Yield (t),37808.0
2000,汝州市,ruzhoushi,Wheat,Yield (t),139433.0
2000,宝丰县,baofengxian,Wheat,Yield (t),76241.0
2000,叶县,yexian,Wheat,Yield (t),179699.0
2000,鲁山县,lushanxian,Wheat,Yield (t),66668.0
2000,郏县,jiaxian,Wheat,Yield (t),119736.0
2000,铁西区,tiexiqu,Wheat,Yield (t),463.0
2000,郊区,jiaoqu,Wheat,Yield (t),27267.0
2000,林州市,linzhoushi,Wheat,Yield (t),102732.0
2000,安阳县,anyangxian,Wheat,Yield (t),263124.0
2000,汤阴县,tangyinxian,Wheat,Yield (t),158773.0
2000,滑县,huaxian,Wheat,Yield (t),620698.0
2000,内黄县,neihuangxian,Wheat,Yield (t),249474.0
2000,郊区,jiaoqu,Wheat,Yield (t),30204.0
2000,浚县,junxian,Wheat,Yield (t),327248.0
2000,淇县,qixian,Wheat,Yield (t),106481.0
2000,北站区,beizhanqu,Wheat,Yield (t),13289.0
2000,郊区,jiaoqu,Wheat,Yield (t),16000.0
2000,卫辉市,weihuishi,Wheat,Yield (t),154350.0
2000,辉县市,huixianshi,Wheat,Yield (t),225528.0
2000,新乡县,xinxiangxian,Wheat,Yield (t),135164.0
2000,获嘉县,huojiaxian,Wheat,Yield (t),137682.0
2000,原阳县,yuanyangxian,Wheat,Yield (t),257159.0
2000,延津县,yanjinxian,Wheat,Yield (t),191804.0
2000,封丘县,fengqiuxian,Wheat,Yield (t),305151.0
2000,长垣县,changyuanxian,Wheat,Yield (t),276720.0
2000,解放区,jiefangqu,Wheat,Yield (t),3803.0
2000,中站区,zhongzhanqu,Wheat,Yield (t),7435.0
2000,马村区,macunqu,Wheat,Yield (t),21721.0
2000,山阳区,shanyangqu,Wheat,Yield (t),17623.0
2000,沁阳市,qinyangshi,Wheat,Yield (t),157387.0
2000,孟州市,mengzhoushi,Wheat,Yield (t),115776.0
2000,修武县,xiuwuxian,Wheat,Yield (t),96237.0
2000,博爱县,boaixian,Wheat,Yield (t),102329.0
2000,武陟县,wuzhixian,Wheat,Yield (t),204436.0
2000,温县,wenxian,Wheat,Yield (t),117197.0
2000,市区,shiqu,Wheat,Yield (t),55423.0
2000,清丰县,qingfengxian,Wheat,Yield (t),280587.0
2000,南乐县,nanlexian,Wheat,Yield (t),195350.0
2000,范县,fanxian,Wheat,Yield (t),129655.0
2000,台前县,taiqianxian,Wheat,Yield (t),88150.0
2000,濮阳县,puyangxian,Wheat,Yield (t),434311.0
2000,魏都区,weiduqu,Wheat,Yield (t),16879.0
2000,禹州市,yuzhoushi,Wheat,Yield (t),218754.0
2000,长葛市,changgeshi,Wheat,Yield (t),229894.0
2000,许昌县,xuchangxian,Wheat,Yield (t),315306.0
2000,鄢陵县,yanlingxian,Wheat,Yield (t),255944.0
2000,襄城县,xiangchengxian,Wheat,Yield (t),212093.0
2000,源汇区,yuanhuiqu,Wheat,Yield (t),7109.0
2000,舞阳县,wuyangxian,Wheat,Yield (t),172343.0
2000,临颍县,linyingxian,Wheat,Yield (t),208396.0
2000,郾城县,yanchengxian,Wheat,Yield (t),297908.0
2000,湖滨区,hubinqu,Wheat,Yield (t),10862.0
2000,义马市,yimashi,Wheat,Yield (t),5800.0
2000,灵宝市,lingbaoshi,Wheat,Yield (t),89119.0
2000,渑池县,minchixian,Wheat,Yield (t),85231.0
2000,陕县,shanxian,Wheat,Yield (t),57284.0
2000,卢氏县,lushixian,Wheat,Yield (t),37261.0
2000,宛城区,wanchengqu,Wheat,Yield (t),212661.0
2000,卧龙区,wolongqu,Wheat,Yield (t),99919.0
2000,邓州市,dengzhoushi,Wheat,Yield (t),405666.0
2000,南召县,nanzhaoxian,Wheat,Yield (t),42538.0
2000,方城县,fangchengxian,Wheat,Yield (t),147003.0
2000,西峡县,xixiaxian,Wheat,Yield (t),37642.0
2000,镇平县,zhenpingxian,Wheat,Yield (t),185990.0
2000,内乡县,neixiangxian,Wheat,Yield (t),86209.0
2000,淅川县,xichuanxian,Wheat,Yield (t),85695.0
2000,社旗县,sheqixian,Wheat,Yield (t),143820.0
2000,唐河县,tanghexian,Wheat,Yield (t),339183.0
2000,新野县,xinyexian,Wheat,Yield (t),170495.0
2000,桐柏县,tongbaixian,Wheat,Yield (t),52310.0
2000,梁园区,liangyuanqu,Wheat,Yield (t),193608.0
2000,睢阳区,suiyangqu,Wheat,Yield (t),245788.0
2000,永城市,yongchengshi,Wheat,Yield (t),427284.0
2000,民权县,minquanxian,Wheat,Yield (t),290272.0
2000,睢县,suixian,Wheat,Yield (t),288507.0
2000,宁陵县,ninglingxian,Wheat,Yield (t),187438.0
2000,柘城县,zhechengxian,Wheat,Yield (t),289434.0
2000,虞城县,yuchengxian,Wheat,Yield (t),331479.0
2000,夏邑县,xiayixian,Wheat,Yield (t),330958.0
2000,狮河区,shihequ,Wheat,Yield (t),13010.0
2000,平桥区,pingqiaoqu,Wheat,Yield (t),73043.0
2000,息县,xixian,Wheat,Yield (t),234015.0
2000,淮滨县,huaibinxian,Wheat,Yield (t),135135.0
2000,潢川县,huangchuanxian,Wheat,Yield (t),85371.0
2000,光山县,guangshanxian,Wheat,Yield (t),58438.0
2000,固始县,gushixian,Wheat,Yield (t),126477.0
2000,商城县,shangchengxian,Wheat,Yield (t),46516.0
2000,罗山县,luoshanxian,Wheat,Yield (t),57044.0
2000,新县,xinxian,Wheat,Yield (t),11044.0
2000,川汇区,chuanhuiqu,Wheat,Yield (t),28450.0
2000,项城市,xiangchengshi,Wheat,Yield (t),325824.0
2000,扶沟县,fugouxian,Wheat,Yield (t),310892.0
2000,西华县,xihuaxian,Wheat,Yield (t),321013.0
2000,商水县,shangshuixian,Wheat,Yield (t),463611.0
2000,太康县,taikangxian,Wheat,Yield (t),536051.0
2000,鹿邑县,luyixian,Wheat,Yield (t),394092.0
2000,郸城县,danchengxian,Wheat,Yield (t),479647.0
2000,淮阳县,huaiyangxian,Wheat,Yield (t),404161.0
2000,沈丘县,shenqiuxian,Wheat,Yield (t),334386.0
2000,驿城区,yichengqu,Wheat,Yield (t),32649.0
2000,确山县,queshanxian,Wheat,Yield (t),171932.0
2000,泌阳县,miyangxian,Wheat,Yield (t),157589.0
2000,遂平县,suipingxian,Wheat,Yield (t),219284.0
2000,西平县,xipingxian,Wheat,Yield (t),234938.0
2000,上蔡县,shangcaixian,Wheat,Yield (t),367648.0
2000,汝南县,runanxian,Wheat,Yield (t),268713.0
2000,平舆县,pingyuxian,Wheat,Yield (t),290411.0
2000,新蔡县,xincaixian,Wheat,Yield (t),311335.0
2000,正阳县,zhengyangxian,Wheat,Yield (t),250478.0
2000,中原区,zhongyuanqu,Wheat,Unit yield (Kg/ha),4651.0
2000,二七区,erqiqu,Wheat,Unit yield (Kg/ha),1868.0
2000,管城区,guanchengqu,Wheat,Unit yield (Kg/ha),4602.0
2000,金水区,jinshuiqu,Wheat,Unit yield (Kg/ha),4344.0
2000,上街区,shangjiequ,Wheat,Unit yield (Kg/ha),5506.0
2000,邙山区,mangshanqu,Wheat,Unit yield (Kg/ha),4916.0
2000,巩义市,gongyishi,Wheat,Unit yield (Kg/ha),2405.0
2000,荥阳市,yingyangshi,Wheat,Unit yield (Kg/ha),3905.0
2000,新密市,xinmishi,Wheat,Unit yield (Kg/ha),2273.0
2000,新郑市,xinzhengshi,Wheat,Unit yield (Kg/ha),4513.0
2000,登封市,dengfengshi,Wheat,Unit yield (Kg/ha),2190.0
2000,中牟县,zhongmouxian,Wheat,Unit yield (Kg/ha),5075.0
2000,郊区,jiaoqu,Wheat,Unit yield (Kg/ha),4455.0
2000,杞县,qixian,Wheat,Unit yield (Kg/ha),5124.0
2000,通许县,tongxuxian,Wheat,Unit yield (Kg/ha),5294.0
2000,尉氏县,weishixian,Wheat,Unit yield (Kg/ha),4773.0
2000,开封县,kaifengxian,Wheat,Unit yield (Kg/ha),5448.0
2000,兰考县,lankaoxian,Wheat,Unit yield (Kg/ha),4955.0
2000,吉利区,jiliqu,Wheat,Unit yield (Kg/ha),5391.0
2000,洛龙区,luolongqu,Wheat,Unit yield (Kg/ha),5588.0
2000,偃师市,yanshishi,Wheat,Unit yield (Kg/ha),5250.0
2000,孟津县,mengjinxian,Wheat,Unit yield (Kg/ha),3315.0
2000,新安县,xinanxian,Wheat,Unit yield (Kg/ha),2864.0
2000,栾川县,luanchuanxian,Wheat,Unit yield (Kg/ha),1821.0
2000,嵩县,songxian,Wheat,Unit yield (Kg/ha),1737.0
2000,汝阳县,ruyangxian,Wheat,Unit yield (Kg/ha),2441.0
2000,宜阳县,yiyangxian,Wheat,Unit yield (Kg/ha),2760.0
2000,洛宁县,luoningxian,Wheat,Unit yield (Kg/ha),3034.0
2000,伊川县,yichuanxian,Wheat,Unit yield (Kg/ha),3170.0
2000,新华区,xinhuaqu,Wheat,Unit yield (Kg/ha),2097.0
2000,卫东区,weidongqu,Wheat,Unit yield (Kg/ha),2984.0
2000,石龙区,shilongqu,Wheat,Unit yield (Kg/ha),776.0
2000,湛河区,zhanhequ,Wheat,Unit yield (Kg/ha),3349.0
2000,舞钢市,wugangshi,Wheat,Unit yield (Kg/ha),2431.0
2000,汝州市,ruzhoushi,Wheat,Unit yield (Kg/ha),3433.0
2000,宝丰县,baofengxian,Wheat,Unit yield (Kg/ha),3166.0
2000,叶县,yexian,Wheat,Unit yield (Kg/ha),3353.0
2000,鲁山县,lushanxian,Wheat,Unit yield (Kg/ha),2556.0
2000,郏县,jiaxian,Wheat,Unit yield (Kg/ha),4241.0
2000,铁西区,tiexiqu,Wheat,Unit yield (Kg/ha),6614.0
2000,郊区,jiaoqu,Wheat,Unit yield (Kg/ha),5145.0
2000,林州市,linzhoushi,Wheat,Unit yield (Kg/ha),2927.0
2000,安阳县,anyangxian,Wheat,Unit yield (Kg/ha),4731.0
2000,汤阴县,tangyinxian,Wheat,Unit yield (Kg/ha),5644.0
2000,滑县,huaxian,Wheat,Unit yield (Kg/ha),6056.0
2000,内黄县,neihuangxian,Wheat,Unit yield (Kg/ha),5184.0
2000,郊区,jiaoqu,Wheat,Unit yield (Kg/ha),4284.0
2000,浚县,junxian,Wheat,Unit yield (Kg/ha),6030.0
2000,淇县,qixian,Wheat,Unit yield (Kg/ha),5979.0
2000,北站区,beizhanqu,Wheat,Unit yield (Kg/ha),6451.0
2000,郊区,jiaoqu,Wheat,Unit yield (Kg/ha),6987.0
2000,卫辉市,weihuishi,Wheat,Unit yield (Kg/ha),5277.0
2000,辉县市,huixianshi,Wheat,Unit yield (Kg/ha),5138.0
2000,新乡县,xinxiangxian,Wheat,Unit yield (Kg/ha),5884.0
2000,获嘉县,huojiaxian,Wheat,Unit yield (Kg/ha),7375.0
2000,原阳县,yuanyangxian,Wheat,Unit yield (Kg/ha),6292.0
2000,延津县,yanjinxian,Wheat,Unit yield (Kg/ha),5563.0
2000,封丘县,fengqiuxian,Wheat,Unit yield (Kg/ha),6439.0
2000,长垣县,changyuanxian,Wheat,Unit yield (Kg/ha),5624.0
2000,解放区,jiefangqu,Wheat,Unit yield (Kg/ha),5210.0
2000,中站区,zhongzhanqu,Wheat,Unit yield (Kg/ha),3832.0
2000,马村区,macunqu,Wheat,Unit yield (Kg/ha),5642.0
2000,山阳区,shanyangqu,Wheat,Unit yield (Kg/ha),6408.0
2000,沁阳市,qinyangshi,Wheat,Unit yield (Kg/ha),7190.0
2000,孟州市,mengzhoushi,Wheat,Unit yield (Kg/ha),7156.0
2000,修武县,xiuwuxian,Wheat,Unit yield (Kg/ha),7050.0
2000,博爱县,boaixian,Wheat,Unit yield (Kg/ha),7367.0
2000,武陟县,wuzhixian,Wheat,Unit yield (Kg/ha),7431.0
2000,温县,wenxian,Wheat,Unit yield (Kg/ha),7203.0
2000,市区,shiqu,Wheat,Unit yield (Kg/ha),6445.0
2000,清丰县,qingfengxian,Wheat,Unit yield (Kg/ha),6363.0
2000,南乐县,nanlexian,Wheat,Unit yield (Kg/ha),6584.0
2000,范县,fanxian,Wheat,Unit yield (Kg/ha),5387.0
2000,台前县,taiqianxian,Wheat,Unit yield (Kg/ha),5643.0
2000,濮阳县,puyangxian,Wheat,Unit yield (Kg/ha),5911.0
2000,魏都区,weiduqu,Wheat,Unit yield (Kg/ha),6467.0
2000,禹州市,yuzhoushi,Wheat,Unit yield (Kg/ha),4345.0
2000,长葛市,changgeshi,Wheat,Unit yield (Kg/ha),6898.0
2000,许昌县,xuchangxian,Wheat,Unit yield (Kg/ha),6163.0
2000,鄢陵县,yanlingxian,Wheat,Unit yield (Kg/ha),6292.0
2000,襄城县,xiangchengxian,Wheat,Unit yield (Kg/ha),5760.0
2000,源汇区,yuanhuiqu,Wheat,Unit yield (Kg/ha),4869.0
2000,舞阳县,wuyangxian,Wheat,Unit yield (Kg/ha),4634.0
2000,临颍县,linyingxian,Wheat,Unit yield (Kg/ha),5470.0
2000,郾城县,yanchengxian,Wheat,Unit yield (Kg/ha),5394.0
2000,湖滨区,hubinqu,Wheat,Unit yield (Kg/ha),3394.0
2000,义马市,yimashi,Wheat,Unit yield (Kg/ha),3222.0
2000,灵宝市,lingbaoshi,Wheat,Unit yield (Kg/ha),2800.0
2000,渑池县,minchixian,Wheat,Unit yield (Kg/ha),3202.0
2000,陕县,shanxian,Wheat,Unit yield (Kg/ha),2698.0
2000,卢氏县,lushixian,Wheat,Unit yield (Kg/ha),2154.0
2000,宛城区,wanchengqu,Wheat,Unit yield (Kg/ha),5391.0
2000,卧龙区,wolongqu,Wheat,Unit yield (Kg/ha),3266.0
2000,邓州市,dengzhoushi,Wheat,Unit yield (Kg/ha),3926.0
2000,南召县,nanzhaoxian,Wheat,Unit yield (Kg/ha),2706.0
2000,方城县,fangchengxian,Wheat,Unit yield (Kg/ha),2443.0
2000,西峡县,xixiaxian,Wheat,Unit yield (Kg/ha),2683.0
2000,镇平县,zhenpingxian,Wheat,Unit yield (Kg/ha),3361.0
2000,内乡县,neixiangxian,Wheat,Unit yield (Kg/ha),3078.0
2000,淅川县,xichuanxian,Wheat,Unit yield (Kg/ha),2628.0
2000,社旗县,sheqixian,Wheat,Unit yield (Kg/ha),2989.0
2000,唐河县,tanghexian,Wheat,Unit yield (Kg/ha),3738.0
2000,新野县,xinyexian,Wheat,Unit yield (Kg/ha),4105.0
2000,桐柏县,tongbaixian,Wheat,Unit yield (Kg/ha),2505.0
2000,梁园区,liangyuanqu,Wheat,Unit yield (Kg/ha),5559.0
2000,睢阳区,suiyangqu,Wheat,Unit yield (Kg/ha),5434.0
2000,永城市,yongchengshi,Wheat,Unit yield (Kg/ha),5458.0
2000,民权县,minquanxian,Wheat,Unit yield (Kg/ha),5102.0
2000,睢县,suixian,Wheat,Unit yield (Kg/ha),6258.0
2000,宁陵县,ninglingxian,Wheat,Unit yield (Kg/ha),4926.0
2000,柘城县,zhechengxian,Wheat,Unit yield (Kg/ha),5319.0
2000,虞城县,yuchengxian,Wheat,Unit yield (Kg/ha),4351.0
2000,夏邑县,xiayixian,Wheat,Unit yield (Kg/ha),4778.0
2000,狮河区,shihequ,Wheat,Unit yield (Kg/ha),2751.0
2000,平桥区,pingqiaoqu,Wheat,Unit yield (Kg/ha),2592.0
2000,息县,xixian,Wheat,Unit yield (Kg/ha),3749.0
2000,淮滨县,huaibinxian,Wheat,Unit yield (Kg/ha),3392.0
2000,潢川县,huangchuanxian,Wheat,Unit yield (Kg/ha),2802.0
2000,光山县,guangshanxian,Wheat,Unit yield (Kg/ha),2371.0
2000,固始县,gushixian,Wheat,Unit yield (Kg/ha),2655.0
2000,商城县,shangchengxian,Wheat,Unit yield (Kg/ha),2364.0
2000,罗山县,luoshanxian,Wheat,Unit yield (Kg/ha),2595.0
2000,新县,xinxian,Wheat,Unit yield (Kg/ha),2144.0
2000,川汇区,chuanhuiqu,Wheat,Unit yield (Kg/ha),6079.0
2000,项城市,xiangchengshi,Wheat,Unit yield (Kg/ha),6012.0
